Sample_ID,Sample_Code,Collection_Date,Sample_Type,Replicate_Number,Day_aft_Irrigation,Sample_Description,Experimental_Replicate,Amount,Units,DNA_Clean_up,Dilution_1_in_10,Reason,Include_in_analysis,Notes
PK_RW_C_06-21-16,RW,6/21/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_C_07-15-16,RW,7/15/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_C_07-20-16,RW,7/20/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_C_07-25-16,RW,7/25/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_C_07-30-16,RW,7/30/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_C_08-04-16,RW,8/4/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_C_08-09-16,RW,8/9/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_C_08-14-16,RW,8/14/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_C_08-19-16,RW,8/19/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_C_08-24-16,RW,8/24/2016,Water,1,NA,Reclaimed Water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_06-21-16,ZW,6/21/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_07-15-16,ZW,7/15/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_07-20-16,ZW,7/20/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_07-25-16,ZW,7/25/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_07-30-16,ZW,7/30/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_08-04-16,ZW,8/4/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_08-09-16,ZW,8/9/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_08-14-16,ZW,8/14/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_08-19-16,ZW,8/19/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_ZW_C_08-24-16,ZW,8/24/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,Yes,No,Experiment,Yes,
PK_TW_C_07-15-16,TW,7/15/2016,Water,1,NA,Tap water,No,500,mL,Yes,No,Experiment,Yes,
PK_TW_C_07-20-16,TW,7/20/2016,Water,1,NA,Tap water,No,500,mL,Yes,No,Experiment,Yes,
PK_TW_C_07-25-16,TW,7/25/2016,Water,1,NA,Tap water,No,500,mL,Yes,No,Experiment,Yes,
PK_TW_C_07-30-16,TW,7/30/2016,Water,1,NA,Tap water,No,500,mL,Yes,No,Experiment,Yes,
PK_TW_C_08-04-16,TW,8/4/2016,Water,1,NA,Tap water,No,500,mL,Yes,No,Experiment,Yes,
PK_TW_C_08-09-16,TW,8/9/2016,Water,1,NA,Tap water,No,500,mL,Yes,No,Experiment,Yes,
PK_TW_C_08-14-16,TW,8/14/2016,Water,1,NA,Tap water,No,500,mL,Yes,No,Experiment,Yes,
PK_TW_C_08-19-16,TW,8/19/2016,Water,1,NA,Tap water,No,500,mL,Yes,No,Experiment,Yes,
PK_TW_C_08-24-16,TW,8/24/2016,Water,1,NA,Tap water,No,500,mL,Yes,No,Experiment,Yes,
PK_TP_C_07-05-16,CE,7/5/2016,Water,1,NA,Chlorinated Effluent,No,500,mL,Yes,No,Experiment,Yes,"Change ""TP"" to ""CE"" "
PK_TP_C_07-19-16,CE,7/19/2016,Water,1,NA,Chlorinated Effluent,No,500,mL,Yes,No,Experiment,Yes,"Change ""TP"" to ""CE"" "
PK_TP_C_08-02-16,CE,8/2/2016,Water,1,NA,Chlorinated Effluent,No,500,mL,Yes,No,Experiment,Yes,"Change ""TP"" to ""CE"" "
PK_TP_C_08-16-16,CE,8/16/2016,Water,1,NA,Chlorinated Effluent,No,500,mL,Yes,No,Experiment,Yes,"Change ""TP"" to ""CE"" "
PK_RB_C_07-05-16,RB,7/5/2016,Water,1,NA,Rain Barrel Composite,No,500,mL,Yes,No,Experiment,Yes,
PK_RB_C_07-19-16,RB,7/19/2016,Water,1,NA,Rain Barrel Composite,No,500,mL,Yes,No,Experiment,Yes,
PK_RB_C_08-02-16,RB,8/2/2016,Water,1,NA,Rain Barrel Composite,No,500,mL,Yes,No,Experiment,Yes,
PK_RW_U_07-25-16,NI,7/25/2016,Water,1,NA,Reclaimed Water,No,500,mL,No,No,Exploration,No,Was included to see if DNA clean up made a difference
PK_RW_U_08-14-16,NI,8/4/2016,Water,1,NA,Reclaimed Water,No,500,mL,No,No,Exploration,No,Was included to see if DNA clean up made a difference
PK_ZW_U_07-25-16,NI,7/25/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,No,No,Exploration,No,Was included to see if DNA clean up made a difference
PK_ZW_U_08-14-16,NI,8/4/2016,Water,1,NA,ZVI filtered reclaimed water,No,500,mL,No,No,Exploration,No,Was included to see if DNA clean up made a difference
PK_TW_U_07-25-16,NI,7/25/2016,Water,1,NA,Tap water,No,500,mL,No,No,Exploration,No,Was included to see if DNA clean up made a difference
PK_TW_U_08-14-16,NI,8/4/2016,Water,1,NA,Tap water,No,500,mL,No,No,Exploration,No,Was included to see if DNA clean up made a difference
PK_BL_D_07-15-16_R1,BG,7/15/2017,Lettuce,1,NA,Prior to any type of irrigation,Replicate 1,0.2,grams,No,Yes,Background,Not sure,"Was included to get an idea about background community before irrigation began in case we see something ""weird"" in our experimental samples we can look at the background samples to see where it could have come from"
PK_BL_D_07-15-16_R2,BG,7/15/2017,Lettuce,2,NA,Prior to any type of irrigation,Replicate 2,0.2,grams,No,Yes,Background,Not sure,"Was included to get an idea about background community before irrigation began in case we see something ""weird"" in our experimental samples we can look at the background samples to see where it could have come from"
PK_RL_D_07-25-16_R1,RL,7/25/2017,Lettuce,1,0, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-25-16_R2,RL,7/25/2017,Lettuce,2,0, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-26-16_R1,RL,7/26/2017,Lettuce,1,1, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-26-16_R2,RL,7/26/2017,Lettuce,2,1, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-27-16_R1,RL,7/27/2017,Lettuce,1,2, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-27-16_R2,RL,7/27/2017,Lettuce,2,2, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-28-16_R1,RL,7/28/2017,Lettuce,1,3, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-28-16_R2,RL,7/28/2017,Lettuce,2,3, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-29-16_R1,RL,7/29/2017,Lettuce,1,4, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-29-16_R2,RL,7/29/2017,Lettuce,2,4, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-30-16_R1,RL,7/30/2017,Lettuce,1,0, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-30-16_R2,RL,7/30/2017,Lettuce,2,0, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-31-16_R1,RL,7/31/2017,Lettuce,1,1, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_07-31-16_R2,RL,7/31/2017,Lettuce,2,1, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-01-16_R1,RL,8/1/2017,Lettuce,1,2, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-01-16_R2,RL,8/1/2017,Lettuce,2,2, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-03-16_R1,RL,8/3/2017,Lettuce,1,4, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-03-16_R2,RL,8/3/2017,Lettuce,2,4, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-04-16_R1,RL,8/4/2017,Lettuce,1,0, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-04-16_R2,RL,8/4/2017,Lettuce,2,0, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-05-16_R1,RL,8/5/2017,Lettuce,1,1, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-05-16_R2,RL,8/5/2017,Lettuce,2,1, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-06-16_R1,RL,8/6/2017,Lettuce,1,2, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-06-16_R2,RL,8/6/2017,Lettuce,2,2, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-08-16_R1,RL,8/8/2017,Lettuce,1,4, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-08-16_R2,RL,8/8/2017,Lettuce,2,4, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-09-16_R1,RL,8/9/2017,Lettuce,1,0, Compostie sample of lettuce irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Yes,
PK_RL_D_08-09-16_R2,RL,8/9/2017,Lettuce,2,0, Compostie sample of lettuce irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Yes,
