Collection_Date,Metric,Sample_Code,Estimate,,,
2016-06-21,Observed OTUs,RW,834,,,
2016-07-15,Observed OTUs,RW,803,,,
2016-07-20,Observed OTUs,RW,2005,,,
2016-07-25,Observed OTUs,RW,508,,,
2016-07-30,Observed OTUs,RW,652,,,
2016-08-04,Observed OTUs,RW,1182,,,
2016-08-09,Observed OTUs,RW,1016,,,
2016-08-14,Observed OTUs,RW,689,,,
2016-08-19,Observed OTUs,RW,1240,,,
2016-08-24,Observed OTUs,RW,1586,,,
2016-06-21,Observed OTUs,ZW,257,,,
2016-07-15,Observed OTUs,ZW,278,,,
2016-07-20,Observed OTUs,ZW,568,,,
2016-07-25,Observed OTUs,ZW,353,,,
2016-07-30,Observed OTUs,ZW,298,,,
2016-08-04,Observed OTUs,ZW,1495,,,
2016-08-09,Observed OTUs,ZW,535,,,
2016-08-14,Observed OTUs,ZW,750,,,
2016-08-19,Observed OTUs,ZW,1301,,,
2016-08-24,Observed OTUs,ZW,893,,,
2016-06-21,Shannon,RW,6.0707913,,,
2016-07-15,Shannon,RW,5.8871518,,,
2016-07-20,Shannon,RW,6.3920002,,,
2016-07-25,Shannon,RW,5.6751201,,,
2016-07-30,Shannon,RW,5.7908455,,,
2016-08-04,Shannon,RW,6.0251425,,,
2016-08-09,Shannon,RW,5.9479065,,,
2016-08-14,Shannon,RW,5.9028247,,,
2016-08-19,Shannon,RW,5.9294434,,,
2016-08-24,Shannon,RW,6.1082782,,,
2016-06-21,Shannon,ZW,5.3920417,,,
2016-07-15,Shannon,ZW,5.5456659,,,
2016-07-20,Shannon,ZW,5.8597567,,,
2016-07-25,Shannon,ZW,5.6068493,,,
2016-07-30,Shannon,ZW,5.4805084,,,
2016-08-04,Shannon,ZW,6.2863538,,,
2016-08-09,Shannon,ZW,5.8362646,,,
2016-08-14,Shannon,ZW,5.9546911,,,
2016-08-19,Shannon,ZW,6.276084,,,
2016-08-24,Shannon,ZW,6.2135495,,,
2016-06-21,Simpson,RW,0.9957432,,,
2016-07-15,Simpson,RW,0.9955981,,,
2016-07-20,Simpson,RW,0.9968917,,,
2016-07-25,Simpson,RW,0.9948229,,,
2016-07-30,Simpson,RW,0.9952622,,,
2016-08-04,Simpson,RW,0.9958339,,,
2016-08-09,Simpson,RW,0.995508,,,
2016-08-14,Simpson,RW,0.9957023,,,
2016-08-19,Simpson,RW,0.9952832,,,
2016-08-24,Simpson,RW,0.9962537,,,
2016-06-21,Simpson,ZW,0.9945223,,,
2016-07-15,Simpson,ZW,0.9956403,,,
2016-07-20,Simpson,ZW,0.9957403,,,
2016-07-25,Simpson,ZW,0.9952384,,,
2016-07-30,Simpson,ZW,0.9948007,,,
2016-08-04,Simpson,ZW,0.9968019,,,
2016-08-09,Simpson,ZW,0.9957058,,,
2016-08-14,Simpson,ZW,0.9958165,,,
2016-08-19,Simpson,ZW,0.9967818,,,
2016-08-24,Simpson,ZW,0.9968808,,,
